臺灣 Taiwan,#genre#
Discovery HD,https://smart.ykq001.cloud/Smart.php?id=discoveryhd_twn
東森戲劇,https://smart.ykq001.cloud/Smart.php?id=ettvdrama
東森洋片,https://smart.ykq001.cloud/Smart.php?id=ettvwestern
東森綜合,https://smart.ykq001.cloud/Smart.php?id=ettvzhonghe
東森財經新聞,https://smart.ykq001.cloud/Smart.php?id=ettvcaijing_twn
東森電影,https://smart.ykq001.cloud/Smart.php?id=ettvmovie
緯來日本台,https://smart.ykq001.cloud/Smart.php?id=videolandjapan
緯來體育台,https://smart.ykq001.cloud/Smart.php?id=videolandsport
美亞電影,https://smart.ykq001.cloud/Smart.php?id=meiyamovie_twn
BBC World News,https://smart.ykq001.cloud/Smart.php?id=bbcnews_twn
Bloomberg News,https://smart.ykq001.cloud/Smart.php?id=bloomberg_twn
Fox News,https://smart.ykq001.cloud/Smart.php?id=foxnews_twn
阿里郎,https://smart.ykq001.cloud/Smart.php?id=arirang_twn
CN卡通,https://smart.ykq001.cloud/Smart.php?id=momo1_twn
靖天卡通台,https://smart.ykq001.cloud/Smart.php?id=jingtiancartoon_twn
靖天國際台,https://smart.ykq001.cloud/Smart.php?id=jingtianintl_twn
非凡新聞台,https://smart.ykq001.cloud/Smart.php?id=feifannews_twn
龍祥時代,https://smart.ykq001.cloud/Smart.php?id=lungxiangtime_twn
龍華偶像,https://smart.ykq001.cloud/Smart.php?id=lunghuaidol_twn
龍華戲劇,https://smart.ykq001.cloud/Smart.php?id=lunghuaxiju_twn
龍華洋片,https://smart.ykq001.cloud/Smart.php?id=lunghuawestern_twn
龍華經典,https://smart.ykq001.cloud/Smart.php?id=lunghuajingdian_twn
龍華電影,https://smart.ykq001.cloud/Smart.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,https://smart.ykq001.cloud/Smart.php?id=TV1
TV1(備用),https://smart.ykq001.cloud/Smart.php?id=TV1_backup
TV2,https://smart.ykq001.cloud/Smart.php?id=TV2
TV3,https://smart.ykq001.cloud/Smart.php?id=TV3
TV3(備用),https://smart.ykq001.cloud/Smart.php?id=tv3_twn
NTV7,https://smart.ykq001.cloud/Smart.php?id=NTV7
TV8,https://smart.ykq001.cloud/Smart.php?id=TV8
TV9,https://smart.ykq001.cloud/Smart.php?id=TV9
Warna,https://smart.ykq001.cloud/Smart.php?id=Warna-O
Warna(備用),https://smart.ykq001.cloud/Smart.php?id=Warna
Ria,https://smart.ykq001.cloud/Smart.php?id=Ria-0
Ria(備用),https://smart.ykq001.cloud/Smart.php?id=Ria49
Ria-3,https://smart.ykq001.cloud/Smart.php?id=Ria_quanjia
Al-Hijrah,https://smart.ykq001.cloud/Smart.php?id=Alhijrah
Al-Hijrah(備用),https://smart.ykq001.cloud/Smart.php?id=Alhijrah_backup
Awani,https://smart.ykq001.cloud/Smart.php?id=Awani
Bernama,https://smart.ykq001.cloud/Smart.php?id=Bernama
Prima,https://smart.ykq001.cloud/Smart.php?id=Prima-0
Prima(備用),https://smart.ykq001.cloud/Smart.php?id=Prima49
Ceria,https://smart.ykq001.cloud/Smart.php?id=Ceria
Astro MTV,https://smart.ykq001.cloud/Smart.php?id=AstroMTV
Mecca Live HD,https://smart.ykq001.cloud/Smart.php?id=quran_mido
Madinah HD,https://smart.ykq001.cloud/Smart.php?id=sunnah_mido
Oasis,https://smart.ykq001.cloud/Smart.php?id=Oasis
HBO HD,https://smart.ykq001.cloud/Smart.php?id=Hbo
HBO Signature,https://smart.ykq001.cloud/Smart.php?id=Hbosignature
HBO Hits,https://smart.ykq001.cloud/Smart.php?id=Hbohits
NatGeo Wild HD,https://smart.ykq001.cloud/Smart.php?id=Natgeowild
Cartoon Network,https://smart.ykq001.cloud/Smart.php?id=Cn
Nickelodeon,https://smart.ykq001.cloud/Smart.php?id=Nickelodeon
Nick Jr,https://smart.ykq001.cloud/Smart.php?id=Nickjr
Citra,https://smart.ykq001.cloud/Smart.php?id=Citra
Sensasi,https://smart.ykq001.cloud/Smart.php?id=Sensasi
Aura,https://smart.ykq001.cloud/Smart.php?id=Aura
Rania,https://smart.ykq001.cloud/Smart.php?id=Rania
Boo,https://smart.ykq001.cloud/Smart.php?id=Boo
Awesome TV,https://smart.ykq001.cloud/Smart.php?id=Awesome_mega
Sony HD,https://smart.ykq001.cloud/Smart.php?id=SetOne
KBS World,https://smart.ykq001.cloud/Smart.php?id=KBS
TvN,https://smart.ykq001.cloud/Smart.php?id=TVN
Astro Premier,https://smart.ykq001.cloud/Smart.php?id=Astropremier
AEC,https://smart.ykq001.cloud/Smart.php?id=AEC
華麗台 HD,https://smart.ykq001.cloud/Smart.php?id=Wlt
歡喜台 HD,https://smart.ykq001.cloud/Smart.php?id=Huahee
歡喜台(備用),https://smart.ykq001.cloud/Smart.php?id=Huahee_backup
Astro QJ,https://smart.ykq001.cloud/Smart.php?id=Quanjia
TVB Jade,https://smart.ykq001.cloud/Smart.php?id=Tvbjade
TVBS Asia,https://smart.ykq001.cloud/Smart.php?id=Tvbasia
TVB Entertainment,https://smart.ykq001.cloud/Smart.php?id=Tvbentertainment
TVB Classic,https://smart.ykq001.cloud/Smart.php?id=Tvbclassic
AOD,https://smart.ykq001.cloud/Smart.php?id=AodHD
One,https://smart.ykq001.cloud/Smart.php?id=One_mega
TVB 星河台,https://smart.ykq001.cloud/Smart.php?id=Xinhe
愛奇藝,https://smart.ykq001.cloud/Smart.php?id=Qiyi
Animal Planet (Eng),https://smart.ykq001.cloud/Smart.php?id=AnimalPlanet
tvN Movie,https://smart.ykq001.cloud/Smart.php?id=Tvnmovie
CNN(備用),https://smart.ykq001.cloud/Smart.php?id=cnn_twn
Celestial Classic,https://smart.ykq001.cloud/Smart.php?id=Celestial2
CNBC,https://smart.ykq001.cloud/Smart.php?id=cnbc_twn
RTM Sports HD,https://smart.ykq001.cloud/Smart.php?id=Rtmsport
TLC,https://smart.ykq001.cloud/Smart.php?id=Tlc
CNA,https://smart.ykq001.cloud/Smart.php?id=cna
AFC 亞洲旅遊台,https://smart.ykq001.cloud/Smart.php?id=asiatravel_twn
BBC World News,https://smart.ykq001.cloud/Smart.php?id=bbcnews_twn
Foodnetwork Hd,https://smart.ykq001.cloud/Smart.php?id=Foodnetwork_mega
HGTV,https://smart.ykq001.cloud/Smart.php?id=HGTV
Arena,https://smart.ykq001.cloud/Smart.php?id=Arena
Goshop,https://smart.ykq001.cloud/Smart.php?id=Goshop
Celestial Movies HD,https://smart.ykq001.cloud/Smart.php?id=Celestial_mega
Arena 2,https://smart.ykq001.cloud/Smart.php?id=Arena2
Axn HD,https://smart.ykq001.cloud/Smart.php?id=Axn
Paramount Network,https://smart.ykq001.cloud/Smart.php?id=Paramountnetwork
BolaArena 1,https://smart.ykq001.cloud/Smart.php?id=Bolaarena1
Astrol Kplus,https://smart.ykq001.cloud/Smart.php?id=Kplus
Rock Actions,https://smart.ykq001.cloud/Smart.php?id=Rockaction
Bloomberg News,https://smart.ykq001.cloud/Smart.php?id=bloomberg_twn
Al-Jazeera,https://smart.ykq001.cloud/Smart.php?id=aljazeera_twn
Rock Entertainment,https://smart.ykq001.cloud/Smart.php?id=Rockentertain
Showcase,https://smart.ykq001.cloud/Smart.php?id=Showcase_mega
BolaArena 2,https://smart.ykq001.cloud/Smart.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,https://smart.ykq001.cloud/Smart.php?id=Channel5HD
Channel 5(備用),https://smart.ykq001.cloud/Smart.php?id=Ch5_mega
Channel 8,https://smart.ykq001.cloud/Smart.php?id=Channel8HD
Channel 8(備用),https://smart.ykq001.cloud/Smart.php?id=Ch8_mega
Suria,https://smart.ykq001.cloud/Smart.php?id=Suria
Suria(備用),https://smart.ykq001.cloud/Smart.php?id=Suria_backup
Channel U,https://smart.ykq001.cloud/Smart.php?id=ChannelU
Channel U(備用),https://smart.ykq001.cloud/Smart.php?id=ChU_mega
Vasantham,https://smart.ykq001.cloud/Smart.php?id=Vasantham
Vasantham(備用),https://smart.ykq001.cloud/Smart.php?id=Vasantham_mega
CNA,https://smart.ykq001.cloud/Smart.php?id=cna
CNA(備用),https://smart.ykq001.cloud/Smart.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,https://smart.ykq001.cloud/Smart.php?id=TVRI
RCTI,https://smart.ykq001.cloud/Smart.php?id=Rcti
Kompass TV,https://smart.ykq001.cloud/Smart.php?id=Kompass
Berita Satu,https://smart.ykq001.cloud/Smart.php?id=BeritaSatu_eko
Indosiar HD,https://smart.ykq001.cloud/Smart.php?id=Indosiar
AnTV,https://smart.ykq001.cloud/Smart.php?id=Antv
MNC TV,https://smart.ykq001.cloud/Smart.php?id=Mnctv
Trans 7,https://smart.ykq001.cloud/Smart.php?id=Trans7_eko
Transtv,https://smart.ykq001.cloud/Smart.php?id=Transtv
JTV,https://smart.ykq001.cloud/Smart.php?id=JTV_eko
Metro TV,https://smart.ykq001.cloud/Smart.php?id=metrotv_eko
Cinemax,https://smart.ykq001.cloud/Smart.php?id=Cinemax
SCTV,https://smart.ykq001.cloud/Smart.php?id=SCTV
Tvone,https://smart.ykq001.cloud/Smart.php?id=Tvone
TVMU,https://smart.ykq001.cloud/Smart.php?id=TVMU_eko
GTV,https://smart.ykq001.cloud/Smart.php?id=Gtv
RTV,https://smart.ykq001.cloud/Smart.php?id=Rtv
Jak TV,https://smart.ykq001.cloud/Smart.php?id=JakTV
iNews TV,https://smart.ykq001.cloud/Smart.php?id=Inewstv
Daai TV,https://smart.ykq001.cloud/Smart.php?id=DaaiTV
Net TV,https://smart.ykq001.cloud/Smart.php?id=NetTV
Animax,https://smart.ykq001.cloud/Smart.php?id=Animax
EWTN,https://smart.ykq001.cloud/Smart.php?id=Ewtn
AlQuran AlKareem,https://smart.ykq001.cloud/Smart.php?id=AlQuran
Tawaf TV,https://smart.ykq001.cloud/Smart.php?id=TawafTV
Vision Prime,https://smart.ykq001.cloud/Smart.php?id=VisionPrime
Muslim TV,https://smart.ykq001.cloud/Smart.php?id=MuslimTV
Music TV,https://smart.ykq001.cloud/Smart.php?id=MusicTV
Lifestyle&Fashion,https://smart.ykq001.cloud/Smart.php?id=Lifestyle
